fund_id,trustee_id,trustee_en,trustee_zh,scheme_id,scheme_en,scheme_zh,fund_type_id,fund_type_en,fund_type_zh,fund_name_en,fund_name_zh,class,launch_date
215,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,EQ_HK_IDX,Equity Fund - Hong Kong Equity Fund (Index Tracking),股票基金 - 香港股票基金（追蹤指數）,Hang Seng Index Tracking Fund,恒指基金,,2000-12-01
216,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,EQ_US,Equity Fund - United States Equity Fund,股票基金 - 美國股票基金,North American Equity Fund,北美股票基金,,2000-12-01
217,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,MIX_21_40,Mixed Assets Fund - 21% to 40% Equity,混合資產基金 - 21% 至 40% 股票,Stable Fund,平穩基金,,2009-10-08
218,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Core Accumulation Fund,核心累積基金,,2000-12-01
219,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,EQ_ASIA,Equity Fund - Asia Equity Fund,股票基金 - 亞洲股票基金,ValueChoice Asia Pacific Equity Tracker Fund,智優逸亞太股票追蹤指數基金,,2019-07-01
220,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,MIX_61_80,Mixed Assets Fund - 61% to 80% Equity,混合資產基金 - 61% 至 80% 股票,ValueChoice Balanced Fund,智優逸均衡基金,,2019-07-01
221,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,EQ_EUR,Equity Fund - Europe Equity Fund,股票基金 - 歐洲股票基金,ValueChoice Europe Equity Tracker Fund,智優逸歐洲股票追蹤指數基金,,2019-07-01
222,HSBC,HSBC,滙豐,ST,HSBC Mandatory Provident Fund - SuperTrust Plus,滙豐強積金智選計劃,EQ_US,Equity Fund - United States Equity Fund,股票基金 - 美國股票基金,ValueChoice North America Equity Tracker Fund,智優逸北美股票追蹤指數基金,,2019-07-01
230,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Age 65 Plus Fund,65歲後基金,,2017-04-01
231,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,EQ_US,Equity Fund - United States Equity Fund,股票基金 - 美國股票基金,Americas Equity Fund,美洲股票基金,,2023-08-31
232,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,EQ_ASIA,Equity Fund - Asia Equity Fund,股票基金 - 亞洲股票基金,Asia Pacific Equity Fund,亞太股票基金,,2006-08-07
233,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_61_80,Mixed Assets Fund - 61% to 80% Equity,混合資產基金 - 61% 至 80% 股票,Balanced Fund,均衡基金,,2000-12-01
234,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_21_40,Mixed Assets Fund - 21% to 40% Equity,混合資產基金 - 21% 至 40% 股票,Capital Stable Fund,資本穩定基金,,2000-12-01
235,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Core Accumulation Fund,核心累積基金,,2017-04-01
236,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,EQ_EUR,Equity Fund - Europe Equity Fund,股票基金 - 歐洲股票基金,European Equity Fund,歐洲股票基金,,2023-08-31
237,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,EQ_HK_IDX,Equity Fund - Hong Kong Equity Fund (Index Tracking),股票基金 - 香港股票基金（追蹤指數）,Fidelity Hong Kong Tracker Fund,富達香港盈富基金,,2013-06-28
238,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,Fidelity SaveEasy 2025 Fund,富達「儲蓄易」2025基金,,2008-10-27
239,HSBC,HSBC,滙豐,FT,Fidelity Retirement Master Trust,富達退休集成信託,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,Fidelity SaveEasy 2030 Fund,富達「儲蓄易」2030基金,,2008-10-27
