scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fund_expense_ratio,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021,scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc,scheme_sc,constituent_fund_sc,mpf_trustee_sc,fund_type_sc,fund_code
AMTD MPF Scheme,AMTD Invesco Age 65 Plus Fund,BCT,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,2017-04-01,28.91,4,0.86585,6.71,3.63,7.93,-14.86,0.58,AMTD強積金計劃,AMTD景順 65 歲後基金,銀聯信託,混合資產基金 - 預設投資策略-65歲後基金,AMTD强积金计划,"AMTD景顺 65 岁后基金
",银联信托,混合资产基金 - 预设投资策略-65岁后基金,BCT-AM-A6PFD
AMTD MPF Scheme,AMTD Invesco Asia Fund,BCT,Equity Fund - Asia Equity Fund,2009-07-10,74.73,5,1.28526,25.46,6.27,1.56,-22.81,-7.99,AMTD強積金計劃,AMTD景順亞洲基金,銀聯信託,股票基金 - 亞洲股票基金,AMTD强积金计划,"AMTD景顺亚洲基金
",银联信托,股票基金 - 亚洲股票基金,BCT-AM-ASFDDD
AMTD MPF Scheme,AMTD Invesco Core Accumulation Fund,BCT,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,2017-04-01,67.63,4,0.86864,15.40,10.81,15.70,-16.47,9.87,AMTD強積金計劃,AMTD景順核心累積基金,銀聯信託,混合資產基金 - 預設投資策略-核心累積基金,AMTD强积金计划,"AMTD景顺核心累积基金
",银联信托,混合资产基金 - 预设投资策略-核心累积基金,BCT-AM-CRACFD
AMTD MPF Scheme,AMTD Invesco Europe Fund,BCT,Equity Fund - Europe Equity Fund,2009-07-10,41.93,5,1.32799,30.73,-2.88,19.31,-12.62,17.32,AMTD強積金計劃,AMTD景順歐洲基金,銀聯信託,股票基金 - 歐洲股票基金,AMTD强积金计划,"AMTD景顺欧洲基金
",银联信托,股票基金 - 欧洲股票基金,BCT-AM-EUFDDD
AMTD MPF Scheme,AMTD Invesco Global Bond Fund,BCT,Bond Fund - Global Bond Fund,2009-07-10,45.52,4,1.28576,6.33,-1.30,5.72,-13.23,-4.22,AMTD強積金計劃,AMTD景順環球債券基金,銀聯信託,債券基金 - 環球債券基金,AMTD强积金计划,"AMTD景顺环球债券基金
",银联信托,债券基金 - 环球债券基金,BCT-AM-GLBDFD
AMTD MPF Scheme,AMTD Invesco Hong Kong and China Fund,BCT,Equity Fund - Hong Kong Equity Fund,2009-07-10,159.76,6,1.20153,30.47,12.51,-19.75,-19.57,-18.49,AMTD強積金計劃,AMTD景順香港中國基金,銀聯信託,股票基金 - 香港股票基金,AMTD强积金计划,"AMTD景顺香港中国基金
",银联信托,股票基金 - 香港股票基金,BCT-AM-HKCFD
AMTD MPF Scheme,AMTD Invesco MPF Conservative Fund,BCT,Money Market Fund - MPF Conservative Fund,2009-07-10,163.04,1,1.07379,1.91,3.13,2.63,0.30,0.00,AMTD強積金計劃,AMTD景順強積金保守基金,銀聯信託,貨幣市場基金 — 強積金保守基金,AMTD强积金计划,"AMTD景顺强积金保守基金
",银联信托,货币市场基金 — 强积金保守基金,BCT-AM-CVFDDD
AMTD MPF Scheme,AMTD Invesco Target 2028 Retirement Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,2009-07-10,25.47,4,1.56304,13.68,2.47,4.86,-15.10,-1.93,AMTD強積金計劃,AMTD景順目標2028退休基金,銀聯信託,混合資產基金 - 未分類混合資產基金,AMTD强积金计划,"AMTD景顺目标2028退休基金
",银联信托,混合资产基金 - 未分类混合资产基金,BCT-AM-T2RFD
AMTD MPF Scheme,AMTD Invesco Target 2038 Retirement Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,2009-07-10,18.45,4,1.44876,17.29,4.40,4.68,-15.77,-1.04,AMTD強積金計劃,AMTD景順目標2038退休基金,銀聯信託,混合資產基金 - 未分類混合資產基金,AMTD强积金计划,"AMTD景顺目标2038退休基金
",银联信托,混合资产基金 - 未分类混合资产基金,BCT-AM-T3RFD
AMTD MPF Scheme,AMTD Invesco Target 2048 Retirement Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,2009-07-10,17.50,5,1.50239,20.79,6.00,4.18,-16.77,-0.23,AMTD強積金計劃,AMTD景順目標2048退休基金,銀聯信託,混合資產基金 - 未分類混合資產基金,AMTD强积金计划,"AMTD景顺目标2048退休基金
",银联信托,混合资产基金 - 未分类混合资产基金,BCT-AM-T4RFD
AMTD MPF Scheme,AMTD Invesco Target Retirement Now Fund,BCT,Mixed Assets Fund - 21% to 40% Equity,2009-07-10,12.88,4,1.76868,12.01,1.32,4.80,-14.56,-2.88,AMTD強積金計劃,AMTD景順目標現在退休基金,銀聯信託,混合資產基金 - 21% 至 40% 股票,AMTD强积金计划,"AMTD景顺目标现在退休基金
",银联信托,混合资产基金 - 21% to 40% 股票,BCT-AM-TRNFD
BCOM Joyful Retirement MPF Scheme,BCOM Age 65 Plus Fund,BCOM,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,2017-04-01,311.83,4,0.80352,7.12,3.84,8.47,-15.18,0.69,交通銀行愉盈退休強積金計劃,交通銀行65歲後基金,交通,混合資產基金 - 預設投資策略-65歲後基金,交通银行愉盈退休强积金计划,"交通银行65岁后基金
",交通,混合资产基金 - 预设投资策略-65岁后基金,BCOM-JR-A6PFD
BCOM Joyful Retirement MPF Scheme,BCOM Asian Dynamic Equity (CF) Fund,BCOM,Equity Fund - Asia Equity Fund,2006-10-25,688.13,5,1.66070,19.97,9.44,4.62,-19.34,-2.82,交通銀行愉盈退休強積金計劃,交通銀行亞洲動力股票成分基金,交通,股票基金 - 亞洲股票基金,交通银行愉盈退休强积金计划,"交通银行亚洲动力股票成分基金
",交通,股票基金 - 亚洲股票基金,BCOM-JR-ADEFD
BCOM Joyful Retirement MPF Scheme,BCOM Balanced (CF) Fund,BCOM,Mixed Assets Fund - 61% to 80% Equity,2006-01-10,567.00,4,1.54952,19.00,5.85,4.54,-16.46,-0.01,交通銀行愉盈退休強積金計劃,交通銀行均衡成分基金,交通,混合資產基金 - 61% 至 80% 股票,交通银行愉盈退休强积金计划,"交通银行均衡成分基金
",交通,混合资产基金 - 61% to 80% 股票,BCOM-JR-BLFDDD
BCOM Joyful Retirement MPF Scheme,BCOM China Dynamic Equity (CF) Fund,BCOM,Equity Fund - China Equity Fund,2008-06-01,553.37,6,1.61505,30.36,17.53,-15.89,-27.08,-16.63,交通銀行愉盈退休強積金計劃,交通銀行中國動力股票成分基金,交通,股票基金 - 中國股票基金,交通银行愉盈退休强积金计划,"交通银行中国动力股票成分基金
",交通,股票基金 - 中国股票基金,BCOM-JR-CDEFD
