scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fer,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021
Manulife Global Select (MPF) Scheme,Manulife MPF Aggressive Fund,Manulife,Mixed Assets Fund - 81% to 100% Equity,01-12-2000,"31,067.72",5,1.79078,22.01,9.61,8.00,-23.47,4.31
Manulife Global Select (MPF) Scheme,Manulife MPF China Value Fund,Manulife,Equity Fund - Greater China Equity Fund,01-02-2006,"38,884.63",6,1.97021,37.73,13.34,-8.09,-27.77,-10.44
Manulife Global Select (MPF) Scheme,Manulife MPF Conservative Fund,Manulife,Money Market Fund - MPF Conservative Fund,01-12-2000,"23,231.91",1,0.76790,2.49,3.76,3.78,0.51,0.01
Manulife Global Select (MPF) Scheme,Manulife MPF Core Accumulation Fund,Manulife,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"34,919.74",4,0.75345,13.75,9.63,14.23,-16.16,9.79
Manulife Global Select (MPF) Scheme,Manulife MPF European Equity Fund,Manulife,Equity Fund - Europe Equity Fund,01-12-2000,"7,297.61",6,1.78999,14.83,-2.81,23.66,-31.12,27.29
Manulife Global Select (MPF) Scheme,Manulife MPF Fidelity Growth Fund,Manulife,Mixed Assets Fund - 81% to 100% Equity,01-09-2003,"11,935.65",5,1.79740,20.01,9.70,4.16,-20.90,1.04
Manulife Global Select (MPF) Scheme,Manulife MPF Fidelity Stable Growth Fund,Manulife,Mixed Assets Fund - 41% to 60% Equity,01-09-2003,"7,951.26",4,1.79073,12.90,3.99,3.96,-19.26,-1.57
Manulife Global Select (MPF) Scheme,Manulife MPF Growth Fund,Manulife,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"22,711.99",5,1.78402,18.43,7.24,6.29,-21.44,2.38
Manulife Global Select (MPF) Scheme,Manulife MPF Hang Seng Index ESG Fund,Manulife,Equity Fund - Hong Kong Equity Fund (Index Tracking),23-04-2012,"8,944.91",7,0.92494,31.02,11.13,-13.34,-13.21,-12.64
Manulife Global Select (MPF) Scheme,Manulife MPF Healthcare Fund,Manulife,Equity Fund - Uncategorized Equity Fund,02-04-2008,"49,869.17",5,1.91298,18.28,-1.55,3.95,-6.06,18.86
Manulife Global Select (MPF) Scheme,Manulife MPF Hong Kong Bond Fund,Manulife,Bond Fund - Hong Kong Dollar Bond Fund,01-12-2000,"3,994.60",3,1.17720,6.66,2.60,5.65,-9.46,-1.54
Manulife Global Select (MPF) Scheme,Manulife MPF Hong Kong Equity Fund,Manulife,Equity Fund - Hong Kong Equity Fund,01-12-2000,"22,405.64",7,1.77859,32.02,14.12,-14.97,-22.39,-15.79
Manulife Global Select (MPF) Scheme,Manulife MPF Interest Fund,Manulife,Guaranteed Fund,01-12-2000,"37,893.40",1,1.76663,0.88,0.88,0.76,0.37,0.50
Manulife Global Select (MPF) Scheme,Manulife MPF International Bond Fund,Manulife,Bond Fund - Global Bond Fund,01-12-2000,"6,855.97",4,1.17063,5.24,-2.83,5.03,-16.11,-5.05
Manulife Global Select (MPF) Scheme,Manulife MPF International Equity Fund,Manulife,Equity Fund - Global Equity Fund,01-12-2000,"15,425.29",5,1.77353,15.15,15.06,26.51,-28.29,16.98
Manulife Global Select (MPF) Scheme,Manulife MPF Japan Equity Fund,Manulife,Equity Fund - Japan Equity Fund,01-12-2000,"10,965.61",4,1.76400,20.77,21.29,24.82,-11.30,9.64
Manulife Global Select (MPF) Scheme,Manulife MPF North American Equity Fund,Manulife,Equity Fund - United States Equity Fund,01-12-2000,"43,946.48",5,1.76261,12.15,21.23,38.69,-31.94,23.04
Manulife Global Select (MPF) Scheme,Manulife MPF Pacific Asia Equity Fund,Manulife,Equity Fund - Asia Equity Fund,01-12-2000,"19,812.07",5,1.81569,23.96,11.80,5.55,-17.17,1.06
Manulife Global Select (MPF) Scheme,Manulife MPF Retirement Income Fund,Manulife,Mixed Assets Fund - Uncategorized Mixed Asset Fund,21-09-2020,"2,164.89",4,1.35156,7.23,0.19,1.01,-19.68,-2.22
Manulife Global Select (MPF) Scheme,Manulife MPF RMB Bond Fund,Manulife,Bond Fund - RMB Bond Fund,16-12-2013,"3,016.19",3,1.19991,7.27,1.37,2.59,-6.01,2.81
Manulife Global Select (MPF) Scheme,Manulife MPF Smart Retirement Fund,Manulife,Mixed Assets Fund - 41% to 60% Equity,21-02-2011,"1,395.39",4,1.06214,13.54,6.06,6.00,-18.74,1.41
Manulife Global Select (MPF) Scheme,Manulife MPF Stable Fund,Manulife,Guaranteed Fund,01-12-2000,"18,166.69",4,1.77276,10.89,4.64,4.21,-15.23,-1.72
Manulife Global Select (MPF) Scheme,Manulife MPF Sustainable Pacific Asia Bond Fund,Manulife,Bond Fund - Asia Bond Fund,23-04-2012,"1,775.09",4,1.19787,6.60,1.90,3.20,-10.91,-2.70
Manulife RetireChoice (MPF) Scheme,Allianz Asian Fund - Class A,BCT,Equity Fund - Asia Equity Fund,31-08-2004,57.03,5,1.45828,31.53,3.33,2.59,-21.06,-8.90
Manulife RetireChoice (MPF) Scheme,Allianz Asian Fund - Class B,BCT,Equity Fund - Asia Equity Fund,04-08-2004,712.22,5,1.25912,31.79,3.54,2.79,-20.90,-8.72
Manulife RetireChoice (MPF) Scheme,Allianz Asian Fund - Class T,BCT,Equity Fund - Asia Equity Fund,04-08-2004,824.19,5,1.22903,31.83,3.57,2.83,-20.88,-8.69
Manulife RetireChoice (MPF) Scheme,Allianz Balanced Fund - Class A,BCT,Mixed Assets Fund - 61% to 80% Equity,07-02-2001,30.43,4,1.48865,20.54,7.78,4.91,-15.93,1.81
Manulife RetireChoice (MPF) Scheme,Allianz Balanced Fund - Class B,BCT,Mixed Assets Fund - 61% to 80% Equity,02-02-2001,470.07,4,1.28960,20.78,8.00,5.12,-15.77,2.02
Manulife RetireChoice (MPF) Scheme,Allianz Balanced Fund - Class T,BCT,Mixed Assets Fund - 61% to 80% Equity,08-12-2000,559.81,4,1.25924,20.81,8.03,5.15,-15.74,2.05
Manulife RetireChoice (MPF) Scheme,Allianz Capital Stable Fund - Class A,BCT,Mixed Assets Fund - 21% to 40% Equity,07-02-2001,19.38,4,1.48301,11.22,2.00,4.33,-14.63,-1.55
Manulife RetireChoice (MPF) Scheme,Allianz Capital Stable Fund - Class B,BCT,Mixed Assets Fund - 21% to 40% Equity,02-02-2001,231.73,4,1.28390,11.45,2.21,4.53,-14.46,-1.35
Manulife RetireChoice (MPF) Scheme,Allianz Capital Stable Fund - Class T,BCT,Mixed Assets Fund - 21% to 40% Equity,11-12-2000,229.87,4,1.25383,11.48,2.24,4.57,-14.43,-1.32
Manulife RetireChoice (MPF) Scheme,Allianz Flexi Balanced Fund - Class A,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,31-08-2004,14.20,3,1.44200,8.51,2.97,3.44,-7.39,5.56
Manulife RetireChoice (MPF) Scheme,Allianz Flexi Balanced Fund - Class B,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,09-08-2004,189.88,3,1.24273,8.72,3.18,3.65,-7.20,5.77
Manulife RetireChoice (MPF) Scheme,Allianz Flexi Balanced Fund - Class T,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,09-08-2004,184.65,3,1.21296,8.75,3.21,3.68,-7.18,5.81
Manulife RetireChoice (MPF) Scheme,Allianz Greater China Fund - Class A,BCT,Equity Fund - Greater China Equity Fund,01-11-2011,20.73,6,1.45942,36.84,12.20,-7.33,-23.10,-10.73
Manulife RetireChoice (MPF) Scheme,Allianz Greater China Fund - Class B,BCT,Equity Fund - Greater China Equity Fund,04-10-2011,347.23,6,1.25946,37.11,12.43,-7.14,-22.95,-10.55
Manulife RetireChoice (MPF) Scheme,Allianz Greater China Fund - Class T,BCT,Equity Fund - Greater China Equity Fund,03-10-2011,285.24,6,1.22967,37.15,12.46,-7.12,-22.93,-10.52
Manulife RetireChoice (MPF) Scheme,Allianz Growth Fund - Class A,BCT,Mixed Assets Fund - 81% to 100% Equity,07-02-2001,60.01,5,1.50370,25.30,10.75,5.41,-16.99,3.81
Manulife RetireChoice (MPF) Scheme,Allianz Growth Fund - Class B,BCT,Mixed Assets Fund - 81% to 100% Equity,02-02-2001,973.51,5,1.30467,25.55,10.98,5.62,-16.83,4.02
Manulife RetireChoice (MPF) Scheme,Allianz Growth Fund - Class T,BCT,Mixed Assets Fund - 81% to 100% Equity,08-12-2000,"1,043.38",5,1.27445,25.59,11.01,5.65,-16.80,4.05
Manulife RetireChoice (MPF) Scheme,Allianz Hong Kong Fund - Class A,BCT,Equity Fund - Hong Kong Equity Fund,31-08-2004,44.10,6,1.41239,35.18,15.13,-17.95,-14.23,-12.10
Manulife RetireChoice (MPF) Scheme,Allianz Hong Kong Fund - Class B,BCT,Equity Fund - Hong Kong Equity Fund,04-08-2004,793.18,6,1.21324,35.45,15.36,-17.78,-14.06,-11.93
Manulife RetireChoice (MPF) Scheme,Allianz Hong Kong Fund - Class T,BCT,Equity Fund - Hong Kong Equity Fund,04-08-2004,693.12,6,1.18332,35.49,15.40,-17.76,-14.03,-11.90
Manulife RetireChoice (MPF) Scheme,Allianz MPF Age 65 Plus Fund - Class A,BCT,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,5.96,4,0.74478,7.06,3.41,7.19,-15.07,0.75
Manulife RetireChoice (MPF) Scheme,Allianz MPF Age 65 Plus Fund - Class B,BCT,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,132.56,4,0.74459,7.06,3.42,7.18,-15.08,0.76
Manulife RetireChoice (MPF) Scheme,Allianz MPF Age 65 Plus Fund - Class T,BCT,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,148.24,4,0.74451,7.06,3.42,7.18,-15.08,0.76
Manulife RetireChoice (MPF) Scheme,Allianz MPF Conservative Fund - Class A,BCT,Money Market Fund - MPF Conservative Fund,07-02-2001,21.56,1,1.02664,1.82,3.28,2.92,0.30,0.00
Manulife RetireChoice (MPF) Scheme,Allianz MPF Conservative Fund - Class B,BCT,Money Market Fund - MPF Conservative Fund,02-02-2001,555.62,1,1.02656,1.82,3.28,2.94,0.30,0.00
Manulife RetireChoice (MPF) Scheme,Allianz MPF Conservative Fund - Class T,BCT,Money Market Fund - MPF Conservative Fund,11-12-2000,563.16,1,0.99646,1.85,3.31,3.04,0.30,0.00
Manulife RetireChoice (MPF) Scheme,Allianz MPF Core Accumulation Fund - Class A,BCT,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,65.16,4,0.77134,14.79,10.95,13.99,-16.80,10.53
Manulife RetireChoice (MPF) Scheme,Allianz MPF Core Accumulation Fund - Class B,BCT,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,800.64,4,0.77151,14.79,10.95,14.01,-16.80,10.54
Manulife RetireChoice (MPF) Scheme,Allianz MPF Core Accumulation Fund - Class T,BCT,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,545.78,4,0.77162,14.79,10.95,14.01,-16.80,10.54
Manulife RetireChoice (MPF) Scheme,Allianz Oriental Pacific Fund - Class A,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,31-10-2011,37.59,5,1.54078,33.58,1.14,13.87,-20.24,12.94
Manulife RetireChoice (MPF) Scheme,Allianz Oriental Pacific Fund - Class B,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,04-10-2011,290.47,5,1.34164,33.85,1.34,14.10,-20.08,13.17
Manulife RetireChoice (MPF) Scheme,Allianz Oriental Pacific Fund - Class T,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,04-10-2011,300.69,5,1.31193,33.89,1.37,14.13,-20.05,13.20
Manulife RetireChoice (MPF) Scheme,Allianz RMB Money Market Fund - Class A,BCT,Money Market Fund - Other than MPF Conservative Fund,07-10-2013,2.10,3,1.17769,4.28,-0.40,-0.14,-4.36,2.21
Manulife RetireChoice (MPF) Scheme,Allianz RMB Money Market Fund - Class B,BCT,Money Market Fund - Other than MPF Conservative Fund,04-10-2013,66.82,3,1.17731,4.28,-0.40,-0.14,-4.36,2.20
Manulife RetireChoice (MPF) Scheme,Allianz RMB Money Market Fund - Class T,BCT,Money Market Fund - Other than MPF Conservative Fund,04-10-2013,54.11,3,1.14738,4.31,-0.37,-0.11,-4.33,2.23
Manulife RetireChoice (MPF) Scheme,Allianz Stable Growth Fund - Class A,BCT,Mixed Assets Fund - 41% to 60% Equity,07-02-2001,18.67,4,1.47955,16.02,4.91,4.66,-15.68,-0.06
Manulife RetireChoice (MPF) Scheme,Allianz Stable Growth Fund - Class B,BCT,Mixed Assets Fund - 41% to 60% Equity,02-02-2001,486.14,4,1.27991,16.25,5.12,4.88,-15.51,0.14
Manulife RetireChoice (MPF) Scheme,Allianz Stable Growth Fund - Class T,BCT,Mixed Assets Fund - 41% to 60% Equity,08-12-2000,482.39,4,1.25005,16.29,5.15,4.91,-15.49,0.17
MASS Mandatory Provident Fund Scheme,Age 65 Plus Fund,YF Life,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,158.19,3,0.80245,7.09,3.83,8.36,-15.16,0.65
MASS Mandatory Provident Fund Scheme,Asian Bond Fund,YF Life,Bond Fund - Asia Bond Fund,17-03-2003,319.06,4,1.49583,7.16,1.95,6.55,-13.47,-1.49
MASS Mandatory Provident Fund Scheme,Asian Pacific Equity Fund,YF Life,Equity Fund - Asia Equity Fund,19-03-2007,394.39,5,1.54849,30.27,10.38,4.04,-20.89,-3.90
MASS Mandatory Provident Fund Scheme,Core Accumulation Fund,YF Life,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,486.06,4,0.79883,15.82,11.09,16.07,-16.56,9.99
MASS Mandatory Provident Fund Scheme,European Equity Fund,YF Life,Equity Fund - Europe Equity Fund,19-03-2007,158.81,5,1.49470,30.13,4.15,20.83,-11.19,4.89
MASS Mandatory Provident Fund Scheme,Global Bond Fund,YF Life,Bond Fund - Global Bond Fund,17-03-2003,169.47,4,1.40505,7.14,-3.88,4.35,-13.57,-4.24
MASS Mandatory Provident Fund Scheme,Global Equity Fund,YF Life,Equity Fund - Global Equity Fund,17-03-2003,374.78,5,1.46915,19.98,15.15,22.03,-22.96,21.78
MASS Mandatory Provident Fund Scheme,Global Growth Fund,YF Life,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,517.01,4,1.42100,21.03,7.82,4.86,-15.99,1.78
MASS Mandatory Provident Fund Scheme,Global Stable Fund,YF Life,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,299.58,4,1.42291,16.49,4.97,4.61,-15.72,-0.11
MASS Mandatory Provident Fund Scheme,Greater China Equity Fund,YF Life,Equity Fund - Greater China Equity Fund,01-05-2011,779.12,6,1.40858,34.25,12.78,-9.82,-29.01,-7.00
MASS Mandatory Provident Fund Scheme,Guaranteed Fund,YF Life,Guaranteed Fund,20-01-2006,291.61,4,3.24508,9.42,0.20,2.35,-16.22,-3.37
MASS Mandatory Provident Fund Scheme,Hong Kong Equities Fund,YF Life,Equity Fund - Hong Kong Equity Fund,19-03-2007,557.06,6,1.37614,34.97,15.69,-17.97,-14.25,-12.20
MASS Mandatory Provident Fund Scheme,MPF Conservative Fund,YF Life,Money Market Fund - MPF Conservative Fund,01-12-2000,694.61,1,0.87598,2.01,3.39,3.26,0.32,0.00
MASS Mandatory Provident Fund Scheme,US Equity Fund,YF Life,Equity Fund - United States Equity Fund,19-03-2007,"1,117.80",5,1.04762,16.81,21.77,28.27,-36.96,16.10
My Choice Mandatory Provident Fund Scheme,My Choice Age 65 Plus Fund,BOCIP,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,82.44,4,0.76940,5.74,3.47,7.05,-14.45,1.09
My Choice Mandatory Provident Fund Scheme,My Choice Asia Equity Fund,BOCIP,Equity Fund - Asia Equity Fund,28-07-2010,291.67,5,1.09501,23.65,11.87,10.03,-21.24,-2.96
My Choice Mandatory Provident Fund Scheme,My Choice Balanced Fund,BOCIP,Mixed Assets Fund - 61% to 80% Equity,28-07-2010,258.79,5,1.04376,19.29,6.36,5.18,-15.91,0.63
My Choice Mandatory Provident Fund Scheme,My Choice China Equity Fund,BOCIP,Equity Fund - Greater China Equity Fund,28-07-2010,672.33,7,1.06687,34.08,13.04,-9.37,-28.63,-6.33
My Choice Mandatory Provident Fund Scheme,My Choice Core Accumulation Fund,BOCIP,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,262.55,4,0.80511,13.38,9.77,13.32,-14.82,9.78
My Choice Mandatory Provident Fund Scheme,My Choice Global Bond Fund,BOCIP,Bond Fund - Global Bond Fund,28-07-2010,117.37,4,0.99802,4.92,-3.17,4.79,-17.75,-4.79
My Choice Mandatory Provident Fund Scheme,My Choice Global Equity Fund,BOCIP,Equity Fund - Global Equity Fund,28-07-2010,615.11,5,1.04250,19.34,16.26,18.05,-17.89,18.49
My Choice Mandatory Provident Fund Scheme,My Choice Growth Fund,BOCIP,Mixed Assets Fund - 81% to 100% Equity,28-07-2010,461.86,5,1.02738,20.89,10.54,4.87,-20.28,1.77
My Choice Mandatory Provident Fund Scheme,My Choice HKD Bond Fund,BOCIP,Bond Fund - Hong Kong Dollar Bond Fund,28-07-2010,82.25,3,1.03782,5.58,2.98,6.02,-9.04,-1.36
My Choice Mandatory Provident Fund Scheme,My Choice Hong Kong Equity Fund,BOCIP,Equity Fund - Hong Kong Equity Fund,28-07-2010,316.62,7,1.06799,30.45,17.43,-15.76,-18.78,-15.51
My Choice Mandatory Provident Fund Scheme,My Choice Hong Kong Tracking Fund,BOCIP,Equity Fund - Hong Kong Equity Fund (Index Tracking),28-07-2010,174.52,7,0.73161,30.94,21.63,-11.19,-13.45,-12.39
My Choice Mandatory Provident Fund Scheme,My Choice MPF Conservative Fund,BOCIP,Money Market Fund - MPF Conservative Fund,28-07-2010,425.37,1,0.74161,2.24,3.47,3.14,0.20,0.00
My Choice Mandatory Provident Fund Scheme,My Choice RMB & HKD Money Market Fund,BOCIP,Money Market Fund - Other than MPF Conservative Fund,06-10-2014,64.83,3,0.93056,4.50,-0.11,0.13,-4.16,2.76
My Choice Mandatory Provident Fund Scheme,My Choice Stable Fund,BOCIP,Mixed Assets Fund - 41% to 60% Equity,28-07-2010,256.50,4,1.03342,15.21,3.16,4.60,-16.04,-1.01
Principal MPF - Simple Plan,Principal - MPF Conservative Fund,PRIN,Money Market Fund - MPF Conservative Fund,20-01-2005,321.74,1,1.04287,2.16,3.58,3.33,0.09,0.00
Principal MPF - Simple Plan,Principal Age 65 Plus Fund,PRIN,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,47.49,4,0.83285,7.75,2.96,7.31,-14.33,1.51
Principal MPF - Simple Plan,Principal Balanced Fund,PRIN,Mixed Assets Fund - 61% to 80% Equity,20-01-2005,274.82,4,1.75034,20.81,7.68,6.34,-18.60,1.46
Principal MPF - Simple Plan,Principal Core Accumulation Fund,PRIN,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,113.04,4,0.80098,15.02,8.82,14.58,-16.70,9.11
Principal MPF - Simple Plan,Principal Dynamic Asia Pacific Equity Fund,PRIN,Equity Fund - Asia Equity Fund,19-12-2006,403.66,5,1.92983,22.63,14.33,7.95,-22.01,-3.14
Principal MPF - Simple Plan,Principal Dynamic Global Bond Fund,PRIN,Bond Fund - Global Bond Fund,19-12-2006,75.97,4,1.55514,5.68,-3.91,4.07,-17.87,-5.41
Principal MPF - Simple Plan,Principal Dynamic Global Equity Fund,PRIN,Equity Fund - Global Equity Fund,19-12-2006,333.44,5,1.81739,17.58,15.22,18.89,-21.59,15.77
Principal MPF - Simple Plan,Principal Dynamic Hong Kong Equity Fund,PRIN,Equity Fund - Hong Kong Equity Fund,20-01-2005,540.58,6,1.78744,27.06,15.55,-13.97,-21.25,-16.05
Principal MPF - Simple Plan,Principal Growth Fund,PRIN,Mixed Assets Fund - 81% to 100% Equity,20-01-2005,487.75,5,1.76792,25.53,10.40,7.26,-19.95,3.13
Principal MPF - Simple Plan,Principal Stable Fund,PRIN,Mixed Assets Fund - 21% to 40% Equity,20-01-2005,158.67,4,1.71816,11.17,2.37,4.79,-16.03,-1.71
Principal MPF - Smart Plan,Principal - Hang Seng Index Tracking Fund,PRIN,Equity Fund - Hong Kong Equity Fund (Index Tracking),03-11-2014,779.91,6,1.03529,29.47,21.48,-11.36,-13.31,-12.77
Principal MPF - Smart Plan,Principal - MPF Conservative Fund,PRIN,Money Market Fund - MPF Conservative Fund,01-12-2000,"3,847.64",1,0.97573,2.27,3.57,3.42,0.09,0.00
Principal MPF - Smart Plan,Principal Age 65 Plus Fund,PRIN,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,473.72,4,0.79253,7.74,3.01,7.73,-14.24,1.66
Principal MPF - Smart Plan,Principal Balanced Fund,PRIN,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"2,187.26",4,1.73779,20.84,7.67,6.34,-18.61,1.55
Principal MPF - Smart Plan,Principal Cash Fund,PRIN,Money Market Fund - Other than MPF Conservative Fund,01-12-2000,623.41,2,0.98972,3.74,3.89,3.68,-0.78,-0.52
Principal MPF - Smart Plan,Principal Core Accumulation Fund,PRIN,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"1,155.00",4,0.78109,15.10,8.79,14.57,-16.47,9.34
Principal MPF - Smart Plan,Principal Dynamic Asia Pacific Equity Fund,PRIN,Equity Fund - Asia Equity Fund,10-01-2011,"1,200.85",5,1.91402,22.84,14.26,7.94,-21.98,-2.94
Principal MPF - Smart Plan,Principal Dynamic Asian Bond Fund,PRIN,Bond Fund - Asia Bond Fund,13-08-2012,199.62,3,1.43774,6.31,0.72,5.17,-11.11,-2.43
Principal MPF - Smart Plan,Principal Dynamic Global Bond Fund,PRIN,Bond Fund - Global Bond Fund,10-01-2011,450.89,4,1.51955,5.95,-3.96,4.25,-17.78,-5.48
Principal MPF - Smart Plan,Principal Dynamic Global Equity Fund,PRIN,Equity Fund - Global Equity Fund,01-12-2000,"3,876.07",5,1.80625,17.56,15.25,18.92,-21.51,15.91
Principal MPF - Smart Plan,Principal Dynamic Greater China Equity Fund,PRIN,Equity Fund - Greater China Equity Fund,13-08-2012,"1,559.39",6,1.58987,28.72,12.63,-10.98,-28.64,-8.13
Principal MPF - Smart Plan,Principal Dynamic Hong Kong Equity Fund,PRIN,Equity Fund - Hong Kong Equity Fund,10-01-2011,"1,161.90",6,1.77260,27.62,15.46,-14.02,-21.00,-15.64
Principal MPF - Smart Plan,Principal Growth Fund,PRIN,Mixed Assets Fund - 81% to 100% Equity,01-12-2000,"3,436.01",5,1.75714,25.58,10.39,7.28,-19.98,3.28
Principal MPF - Smart Plan,Principal Stable Fund,PRIN,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,"1,412.01",4,1.70410,11.30,2.30,4.75,-15.97,-1.67
Principal MPF Scheme Series 800,Principal Age 65 Plus Fund - Class N,PRIN,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,"3,227.07",4,0.78549,7.82,2.98,7.66,-14.34,1.67
Principal MPF Scheme Series 800,Principal Aggressive Strategy Fund - Class D,PRIN,Mixed Assets Fund - 81% to 100% Equity,22-10-2020,37.93,5,1.32114,23.37,10.80,7.47,-19.00,3.49
Principal MPF Scheme Series 800,Principal Aggressive Strategy Fund - Class I,PRIN,Mixed Assets Fund - 81% to 100% Equity,22-10-2020,"1,471.50",5,1.52110,23.22,10.58,7.23,-19.16,3.29
Principal MPF Scheme Series 800,Principal Asian Bond Fund - Class N,PRIN,Bond Fund - Asia Bond Fund,22-10-2020,251.35,3,1.03610,7.29,2.41,6.12,-11.88,-0.46
Principal MPF Scheme Series 800,Principal Asian Equity Fund - Class D,PRIN,Equity Fund - Asia Equity Fund,01-12-2000,237.98,5,1.34073,19.95,9.78,5.03,-19.01,-2.44
Principal MPF Scheme Series 800,Principal Asian Equity Fund - Class I,PRIN,Equity Fund - Asia Equity Fund,01-12-2000,"4,208.53",5,1.53069,19.82,9.57,4.82,-19.17,-2.63
Principal MPF Scheme Series 800,Principal China Equity Fund - Class D,PRIN,Equity Fund - China Equity Fund,01-08-2007,182.42,6,1.32589,30.63,17.85,-15.51,-26.96,-16.29
Principal MPF Scheme Series 800,Principal China Equity Fund - Class I,PRIN,Equity Fund - China Equity Fund,01-08-2007,"2,819.68",6,1.51587,30.48,17.63,-15.69,-27.10,-16.45
Principal MPF Scheme Series 800,Principal Core Accumulation Fund - Class N,PRIN,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"4,429.04",4,0.77991,15.06,8.81,14.66,-16.47,9.40
Principal MPF Scheme Series 800,Principal Global Growth Fund - Class D,PRIN,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,251.87,4,1.32592,19.69,7.52,6.87,-18.00,1.55
Principal MPF Scheme Series 800,Principal Global Growth Fund - Class I,PRIN,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"4,282.12",4,1.52597,19.54,7.30,6.65,-18.17,1.35
Principal MPF Scheme Series 800,Principal Hang Seng Index Tracking Fund - Class N,PRIN,Equity Fund - Hong Kong Equity Fund (Index Tracking),01-02-2012,"2,005.71",6,0.91548,30.22,21.57,-11.30,-13.21,-12.57
Principal MPF Scheme Series 800,Principal HK Dollar Savings Fund - Class D,PRIN,Money Market Fund - Other than MPF Conservative Fund,01-12-2000,185.01,2,0.99923,4.20,3.80,4.05,-1.21,-0.45
Principal MPF Scheme Series 800,Principal HK Dollar Savings Fund - Class I,PRIN,Money Market Fund - Other than MPF Conservative Fund,01-12-2000,"2,259.30",2,1.03918,4.18,3.75,4.01,-1.25,-0.49
Principal MPF Scheme Series 800,Principal Hong Kong Bond Fund - Class N,PRIN,Bond Fund - Hong Kong Dollar Bond Fund,01-02-2012,662.74,3,1.03544,6.15,3.10,6.38,-9.00,-1.18
Principal MPF Scheme Series 800,Principal Hong Kong Equity Fund - Class D,PRIN,Equity Fund - Hong Kong Equity Fund,01-09-2006,175.00,6,1.31209,35.06,15.20,-12.60,-21.14,-15.23
Principal MPF Scheme Series 800,Principal Hong Kong Equity Fund - Class I,PRIN,Equity Fund - Hong Kong Equity Fund,01-09-2006,"3,588.04",6,1.41209,34.98,15.08,-12.70,-21.22,-15.31
Principal MPF Scheme Series 800,Principal International Bond Fund - Class D,PRIN,Bond Fund - Global Bond Fund,01-12-2000,58.55,4,1.30276,7.26,-3.71,5.38,-16.34,-5.56
Principal MPF Scheme Series 800,Principal International Bond Fund - Class I,PRIN,Bond Fund - Global Bond Fund,01-12-2000,"1,099.07",4,1.30278,7.25,-3.71,5.38,-16.34,-5.56
Principal MPF Scheme Series 800,Principal International Equity Fund - Class D,PRIN,Equity Fund - Global Equity Fund,01-12-2000,253.69,5,1.31631,21.64,10.67,23.53,-21.91,18.19
Principal MPF Scheme Series 800,Principal International Equity Fund - Class I,PRIN,Equity Fund - Global Equity Fund,01-12-2000,"2,643.44",5,1.50637,21.50,10.46,23.29,-22.06,17.97
Principal MPF Scheme Series 800,Principal Long Term Accumulation Fund - Class D,PRIN,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,190.25,4,1.32355,16.09,4.21,6.44,-17.38,-0.09
Principal MPF Scheme Series 800,Principal Long Term Accumulation Fund - Class I,PRIN,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,"1,929.52",4,1.52358,15.95,4.00,6.22,-17.55,-0.28
