scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fer,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021
BCT (MPF) Industry Choice,BCT (Industry) Age 65 Plus Fund,BCT,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,480.57,4,0.85349,7.08,3.81,8.40,-15.19,0.64
BCT (MPF) Industry Choice,BCT (Industry) Asian Equity Fund,BCT,Equity Fund - Asia Equity Fund,01-05-2004,603.42,5,1.74461,26.63,9.74,1.20,-22.73,1.54
BCT (MPF) Industry Choice,BCT (Industry) China and Hong Kong Equity Fund,BCT,Equity Fund - Hong Kong Equity Fund,01-10-2002,942.89,6,1.67560,30.67,15.99,-16.26,-19.12,-16.08
BCT (MPF) Industry Choice,BCT (Industry) Core Accumulation Fund,BCT,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,849.45,4,0.85490,15.72,11.03,16.02,-16.61,9.95
BCT (MPF) Industry Choice,BCT (Industry) E30 Mixed Asset Fund,BCT,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,476.63,4,1.68707,10.71,1.57,5.26,-14.82,-2.90
BCT (MPF) Industry Choice,BCT (Industry) E50 Mixed Asset Fund,BCT,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,414.12,4,1.69870,14.70,3.85,5.14,-15.72,-1.89
BCT (MPF) Industry Choice,BCT (Industry) E70 Mixed Asset Fund,BCT,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,614.96,4,1.69592,18.94,6.22,5.07,-16.74,-0.95
BCT (MPF) Industry Choice,BCT (Industry) Flexi Mixed Asset Fund,BCT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,01-08-2005,201.37,3,1.63473,8.29,2.79,3.25,-7.53,5.34
BCT (MPF) Industry Choice,BCT (Industry) Global Bond Fund,BCT,Bond Fund - Global Bond Fund,01-10-2002,163.07,4,1.58107,5.24,-3.54,2.34,-13.60,-4.31
BCT (MPF) Industry Choice,BCT (Industry) Global Equity Fund,BCT,Equity Fund - Global Equity Fund,01-10-2002,564.66,5,1.49977,18.67,16.88,18.42,-23.04,21.61
BCT (MPF) Industry Choice,BCT (Industry) MPF Conservative Fund,BCT,Money Market Fund - MPF Conservative Fund,01-12-2000,"1,812.76",1,0.97483,2.10,3.33,3.04,0.32,0.00
BCT (MPF) Industry Choice,BCT (Industry) RMB Bond Fund,BCT,Bond Fund - RMB Bond Fund,04-03-2013,213.89,3,1.27371,5.89,0.96,2.53,-5.45,2.23
