scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc
東亞（強積金）集成信託計劃,東亞 (強積金) 保守基金,東亞,貨幣市場基金 — 強積金保守基金
東亞（強積金）集成信託計劃,東亞 (強積金) 核心累積基金,東亞,混合資產基金 - 預設投資策略-核心累積基金
東亞（強積金）集成信託計劃,東亞 (強積金) 歐洲股票基金,東亞,股票基金 - 歐洲股票基金
東亞（強積金）集成信託計劃,東亞(強積金)環球債券基金,東亞,債券基金 - 環球債券基金
東亞（強積金）集成信託計劃,東亞 (強積金) 環球股票基金,東亞,股票基金 - 環球股票基金
東亞（強積金）集成信託計劃,東亞 (強積金) 大中華股票基金,東亞,股票基金 - 大中華股票基金
東亞（強積金）集成信託計劃,東亞 (強積金) 增長基金,東亞,混合資產基金 - 61% 至 80% 股票
東亞（強積金）集成信託計劃,東亞(強積金)香港股票基金,東亞,股票基金 - 香港股票基金
東亞（強積金）集成信託計劃,東亞(強積金)日本股票基金,東亞,股票基金 - 日本股票基金
東亞（強積金）集成信託計劃,東亞 (強積金) 北美股票基金,東亞,股票基金 - 美國股票基金
東亞（強積金）集成信託計劃,東亞 (強積金) 人民幣及港幣貨幣市場基金,東亞,貨幣市場基金 — 不包括強積金保守基金
東亞（強積金）集成信託計劃,東亞 (強積金) 平穩基金,東亞,混合資產基金 - 21% 至 40% 股票
東亞（強積金）集成信託計劃,東亞中國追蹤指數基金,東亞,股票基金 - 中國股票基金
東亞（強積金）集成信託計劃,東亞香港追蹤指數基金,東亞,股票基金 - 香港股票基金（追蹤指數）
東亞（強積金）享惠計劃,東亞65歲後基金,東亞,混合資產基金 - 預設投資策略-65歲後基金
東亞（強積金）享惠計劃,東亞亞洲股票基金,東亞,股票基金 - 亞洲股票基金
東亞（強積金）享惠計劃,東亞均衡基金,東亞,混合資產基金 - 41% 至 60% 股票
東亞（強積金）享惠計劃,東亞核心累積基金,東亞,混合資產基金 - 預設投資策略-核心累積基金
